#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,numberOfBusinessFacilities,businessFacilityBuildingArea,totalFloorAreaOfBusinessFacilities,numberOfCommercialFacilities,commercialFacilityBuildingArea,TotalFloorAreaOfCommercialFacilities,NumberOfAccommodationFacilities,AccommodationBuildingArea,AccommodationTotalFloorArea,NumberOfCommercialComplexFacilities,CommercialComplexBuildingArea,TotalFloorAreaOfCommercialComplex,NumberOf Houses,ResidentialBuildingArea,TotalFloorAreaOfTheHouse,numberOfApartmentBuildings
187,372011260,2,,,,37201,高松市,鬼無町藤井,13,899.49,2287.83,12,789.83,1419.47,,,,,,,566,51203.57,67201.6,17
188,372011270,2,,,,37201,高松市,鬼無町是竹,12,1998.49,3698.14,4,939.79,978.03,,,,,,,454,33031.4,44706.2,18
189,372011280,2,,,,37201,高松市,鬼無町佐料,,,,4,913.09,913.09,,,,,,,433,34378.73,46065.52,2
190,372011290,2,,,,37201,高松市,鬼無町佐藤,9,773.92,2494.68,8,668.3,726.06,,,,,,,514,41124.39,55181.39,12
191,372011300,2,,,,37201,高松市,鬼無町山口,3,476.88,686.48,,,,,,,,,,264,22357.98,28767.33,2
192,372011310,2,,,,37201,高松市,鬼無町鬼無,8,726.39,1146.89,12,939.04,1501.01,,,,,,,724,54736.77,74634.36,9
193,372011320,2,,,,37201,高松市,香西本町,44,5664.99,11364.78,38,41487.21,122052.29,,,,,,,1060,70055.55,115695.1,36
194,372011330,2,,,,37201,高松市,香西東町,27,4308.87,9272.27,15,3984.32,5990.97,,,,,,,587,37171.19,66403.48,32
195,372011340,2,,,,37201,高松市,香西南町,27,4847.89,9851.77,31,6687.12,8023.84,,,,,,,903,73193.43,117674.5,42
196,372011350,2,,,,37201,高松市,香西西町,5,521.64,521.64,1,39.66,124.93,,,,,,,483,32498.89,48024.16,10
197,372011360,2,,,,37201,高松市,香西北町,18,1223.23,1805.73,21,2007.42,2958,,,,,,,753,50699.26,77061.72,22
198,372011370,2,,,,37201,高松市,神在川窪町,12,895.46,1351.47,1,36.36,36.36,,,,,,,699,48534.56,67223.07,3
