#property,areaCode,areaNumber,confidential,confidentialInformation,totalArea,cityCode,cityName,townName,woodenStorehouse,steelReinforcedConcrete,reinforcedConcrete,steelFrame,lightSteelFrame,brick,unknown
107,37201060002,3,,,,37201,高松市,寿町２丁目,2,7,9,6,1,0,0
108,372010610,2,,,,37201,高松市,西の丸町,12,3,26,46,3,2,0
109,372010620,2,,,,37201,高松市,西内町,23,5,28,33,5,1,0
110,372010630,2,,,,37201,高松市,兵庫町,26,6,32,37,5,1,0
111,372010640,2,,,,37201,高松市,古新町,7,16,21,15,6,1,0
112,372010650,2,,,,37201,高松市,磨屋町,16,6,19,19,4,1,0
113,372010660,2,,,,37201,高松市,紺屋町,11,7,18,9,1,0,0
114,372010670,2,,,,37201,高松市,鍛冶屋町,6,3,33,27,1,0,0
115,372010680,2,,,,37201,高松市,丸亀町,15,7,39,40,4,1,0
116,372010690,2,,,,37201,高松市,南新町,17,4,30,24,3,2,0
117,372010700,2,,,,37201,高松市,亀井町,16,16,45,38,1,1,0
118,372010710,2,,,,37201,高松市,観光町,383,3,12,24,35,4,0
119,37201072100,3,,,,37201,高松市,上福岡町,1278,5,92,223,143,11,0
120,37201072100,3,,,,37201,高松市,上福岡町,1278,5,92,223,143,11,0
121,372010730,2,,,,37201,高松市,峰山町,105,0,4,8,12,1,0
122,372010740,2,,,,37201,高松市,室町,206,0,32,15,11,5,0
123,372010750,2,,,,37201,高松市,室新町,151,0,32,51,23,2,0
124,372010760,2,,,,37201,高松市,東ハゼ町,263,3,27,95,37,5,0
125,372010770,2,,,,37201,高松市,西ハゼ町,363,0,39,97,59,13,0
126,372010780,2,,,,37201,高松市,紙町,514,0,38,73,85,9,0
127,372010790,2,,,,37201,高松市,松並町,543,0,28,86,97,13,2
128,372010800,2,,,,37201,高松市,西春日町,480,0,25,44,55,17,0
129,372010810,2,,,,37201,高松市,勅使町,800,0,54,292,160,16,0
130,372010820,2,,,,37201,高松市,田村町,742,2,48,200,107,11,0
131,372010830,2,,,,37201,高松市,上天神町,385,5,50,162,75,7,0
132,372010840,2,,,,37201,高松市,三条町,1217,20,105,130,174,22,0
133,37201085000,3,,,,37201,高松市,今里町,240,0,14,68,45,3,0
134,37201085001,3,,,,37201,高松市,今里町１丁目,382,0,42,117,73,2,0
135,37201085002,3,,,,37201,高松市,今里町２丁目,279,0,28,85,37,5,0
136,372010860,2,,,,37201,高松市,松縄町,1241,5,98,198,228,7,0
137,372010870,2,,,,37201,高松市,伏石町,2192,9,162,364,426,29,0
138,372010880,2,,,,37201,高松市,太田下町,1797,2,113,204,255,21,0
139,372010890,2,,,,37201,高松市,太田上町,1781,8,127,196,207,30,0
140,37201090001,3,,,,37201,高松市,木太町１区,675,0,52,84,118,2,0
141,37201090002,3,,,,37201,高松市,木太町２区,1415,0,135,168,144,21,0
142,37201090003,3,,,,37201,高松市,木太町３区,533,1,68,83,52,4,0
143,37201090004,3,,,,37201,高松市,木太町４区,333,19,46,111,55,6,0
144,37201090005,3,,,,37201,高松市,木太町５区,158,0,19,84,32,8,0
145,37201090006,3,,,,37201,高松市,木太町６区,868,7,136,305,150,11,0
146,37201090007,3,,,,37201,高松市,木太町７区,2147,2,97,167,272,27,1
147,37201090008,3,,,,37201,高松市,木太町８区,1083,4,91,67,122,9,0
148,37201090009,3,,,,37201,高松市,木太町９区,1391,0,57,170,135,6,1
149,372010910,2,,,,37201,高松市,春日町,1561,7,87,448,338,29,0
150,372010920,2,,,,37201,高松市,新田町,2141,0,62,267,326,45,12
151,37201093100,3,,,,37201,高松市,高松町,4870,5,299,394,774,70,0
152,37201093100,3,,,,37201,高松市,高松町,4870,5,299,394,774,70,0
153,372010940,2,,,,37201,高松市,屋島東町,1959,0,96,86,272,26,0
154,372010950,2,,,,37201,高松市,屋島中町,767,0,41,43,117,11,3
155,37201096100,3,,,,37201,高松市,屋島西町,3473,15,651,465,675,41,0
156,37201096100,3,,,,37201,高松市,屋島西町,3473,15,651,465,675,41,0
157,372010970,2,,,,37201,高松市,前田西町,709,1,21,113,139,5,0
158,372010980,2,,,,37201,高松市,前田東町,900,0,47,91,117,7,0
159,372010990,2,,,,37201,高松市,亀田町,643,0,19,47,73,8,0
160,372011000,2,,,,37201,高松市,元山町,1664,0,63,176,154,19,0
161,372011010,2,,,,37201,高松市,東山崎町,1569,1,62,186,173,14,0
162,372011020,2,,,,37201,高松市,下田井町,705,0,14,72,91,4,0
163,372011030,2,,,,37201,高松市,林町,2157,1,173,476,349,30,0
