"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"美容所","ビューティーサロン　キタウヂ","761-8078","高松市仏生山町甲２４８７番地５",,"北氏　登美子",,,,,,"第61-7号","S61.03.19"
"美容所","あゑみ美容室","760-0020","高松市錦町一丁目１３番１１号",,"唐渡　富士恵",,,,,,"第61-9号","S61.04.05"
"美容所","ビューティメイク　オカノ","760-0078","高松市今里町３９３","前川第２ビル","岡野　文子",,,,,,"第61-17号","S61.04.28"
"美容所","里花美容室","761-8011","高松市香西北町６９６−３",,"大橋　里江",,,,,,"第61-20号","S61.05.01"
"美容所","メープル美容室","761-0113","高松市屋島西町２４８５−２８",,"堀上　初子",,,,,,"第61-33号","S61.08.09"
"美容所","さくらんぼ美容室","761-0441","高松市由良町３８０番地",,"十河　マリ子",,,,,,"第61-34号","S61.08.18"
"美容所","美容室　光","761-8026","高松市鬼無町鬼無６１１−３",,"上林　宏人",,,,,,"第61-35号","S61.08.29"
"美容所","ＨＡＩＲ　ＣＲＡＦＴ　ＢＥ　ＦＲＥＥ！　（ヘアークラフト　ビ・フリー）","760-0018","高松市天神前９−１５","歌谷ビル２０１","歌谷　勲",,,,,,"第61-39号","S61.11.01"
"美容所","ちよ美容室","769-0104","高松市国分寺町新名１２４０−５",,"槲田　千代美",,,,,,"第61-7号","S61.11.13"
"美容所","ホーム美容室","761-8084","高松市一宮町４５５−１７",,"日下　明子",,,,,,"第61-41号","S61.11.15"
"美容所","ラジョール　Ｆｕｊｉｋｏ","761-8073","高松市太田下町２５５４番地７",,"有限会社富士子美容室","代表取締役","中村　直美","香川県","高松市太田下町２５５４番地７",,"第61-42号","S61.11.15"
"美容所","サロン・デ・ベジェッサ・ジュンコ","761-1703","高松市香川町浅野１０６０−６",,"安西　順子",,,,,,"第61-43号","S61.12.02"
"美容所","美容室　Ｏｚの魔法使い","760-0052","高松市瓦町二丁目７番１５号","植村ビル２階","堀川　義弘",,,,,,"第61-44号","S61.12.05"
"美容所","パーマハウス　イチハラ","760-0080","高松市木太町８区３９８６−９",,"市原　美智子",,,,,,"第62-4号","S62.02.20"
"美容所","ミエ美容室","761-0130","高松市庵治町２４２４−１",,"藤野　三枝子",,,,,,"第62-19号","S62.05.08"
"美容所","ミチ美容室","760-0067","高松市松福町二丁目７番１９号",,"前島　美千子",,,,,,"第62-21号","S62.05.20"
"美容所","シャイニィ美容室","769-0103","高松市国分寺町福家字楠井甲３５６２−１",,"宮本　克之",,,,,,"第62-10号","S62.08.06"
"美容所","カット・サロン　リリアン・Ｂ","761-8081","高松市成合町８９０−１","二川豊子ビル２階","松ヶ枝　欣代子",,,,,,"第62-29号","S62.08.08"
"美容所","ゆい美容室","761-1701","高松市香川町大野３２９−７",,"水本　裕美",,,,,,"第62-30号","S62.08.10"
"美容所","岡田保大美容室","760-0029","高松市丸亀町５−１０","榊原ビル３０１","岡田　保大",,,,,,"第62-42号","S62.12.16"
"美容所","ビューティ　ドリーム","761-1404","高松市香南町横井９８９番地４",,"徳田　久代",,,,,,"第62-44号","S63.02.13"
"美容所","美容室ビィガーデン","761-0104","高松市高松町３０１２−２０",,"安部　俊子",,,,,,"第62-47号","S63.03.26"
"美容所","アイ美容室","760-0031","高松市北浜町１３−１",,"桑原　綾子",,,,,,"第62-48号","S63.03.29"
"美容所","美容室　イガ","761-1406","高松市香南町西庄２１１２−２６",,"伊賀　恭子",,,,,,"第63-4号","S63.04.26"
"美容所","着装　おみな","761-8081","高松市成合町９１３−６",,"泉保　千好江",,,,,,"第63-3号","S63.04.26"
"美容所","ヘアーサロン　馬場","761-1402","高松市香南町由佐１７８番地６",,"馬場　朝子",,,,,,"第63-6号","S63.05.16"
"美容所","ヘアークラブパッション","760-0074","高松市桜町二丁目１５番１６号","チェリータウン２階","丸山　正一",,,,,,"第63-20号","S63.10.11"
"美容所","とがわ美容室","761-8013","高松市香西東町６３３−２４",,"戸川　みち子",,,,,,"第63-22号","S63.10.12"
"美容所","ヘアーマサコ","761-0104","高松市高松町２５１３",,"株式会社コアフィールドマサコ","代表取締役","吉岡　祐子","徳島県","徳島市佐古八番町２番１０号",,"第63-24号","S63.11.24"
