"#property","latitude","longitude","prefCode","identification","pref","city","name","fullNameInKana","fullNameInRomaji","address","katagaki","installationPosition","totalMensRestroom","smallMensRestroom","japaneseMensRestroom","westernMensRestroom","totalWomanRestroom","japaneseWomanRestroom","westernWomanRestroom","sharedRestroom","japaneseSharedRestroom","westernSharedRestroom","multifunctionalRestroom","wheelchairRestroom","anInfantRestroom","ostomateRestroom","startTime","endTime","availableDateNote","image","iamgeLicense","note"
"100","34.35329972","134.08723278","37201","100","香川県","高松市","屋島中央公園","ヤシマチュウオウコウエン","","高松市屋島西町2313","","","2","2","","","","","","1","1","","","無","無","無","","","","","",""
"101","34.35329972","134.08723278","37201","101","香川県","高松市","屋島中央公園","ヤシマチュウオウコウエン","","高松市屋島西町2313","","","2","2","","","","","","1","1","","","無","無","無","","","","","",""
"102","34.3533125","134.09085194","37201","102","香川県","高松市","亥浜公園","イノハマコウエン","","高松市屋島西町2478","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"103","34.34818056","134.09079361","37201","103","香川県","高松市","景山公園","ケイザンコウエン","","高松市屋島西町2501-1","","","1","1","","","","","","1","1","","","無","無","無","","","","","",""
"104","34.3517325","134.02541028","37201","104","香川県","高松市","新北町南公園","シンキタマチミナミコウエン","","高松市新北町8","","","1","1","","","","","","1","","","1","有","無","無","","","","","",""
"105","34.32295861","134.09834583","37201","105","香川県","高松市","新田公園","シンデンコウエン","","高松市新田町甲2538-3","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"106","34.34903333","134.01291472","37201","106","香川県","高松市","乾船入南公園","イヌイフナイリミナミコウエン","","高松市郷東町990","","","1","1","","","","","","1","1","","1","有","無","無","","","","","",""
"107","34.34483583","134.07054806","37201","107","香川県","高松市","福岡三丁目公園","フクオカサンチョウメコウエン","","高松市福岡町三丁目379-12","","","1","1","","","1","1","","","","","1","有","無","無","","","","","",""
"108","34.31725528","133.99683444","37201","108","香川県","高松市","半田公園","ハンダコウエン","","高松市飯田町267-1","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
"109","34.3208475","133.99990917","37201","109","香川県","高松市","小坂公園","コサカコウエン","","高松市飯田町643-1","","","2","1","1","","1","1","","","","","1","有","無","無","","","","","",""
