#property,latitude,longitude,name,address,telephoneNumber
134,34.35108018146608,134.08892576167995,ここね屋島西,屋島西町248番地11,843-5959
135,34.34526260405641,134.12199941086558,小西洋品店,牟礼町牟礼2422番地7,845-9227
136,34.31796374994608,133.98878851505208,小林食品センター,鬼無町鬼無708番地2,881-2980
137,34.238673089248145,134.0333951518606,こばんや薬局,香川町川東上1724番地2,879-2020
138,34.33740809138796,134.0534402518585,米屋ながはら塩上店,塩上町1丁目6番14号,831-2822
139,34.23914165004588,134.01674276842266,コメリハードアンドグリーン高松香南店,香南町由佐793番地1,815-8861
140,34.325934510700144,134.16503421505223,近藤商店,牟礼町原3番地,845-1526
141,34.29245350824779,133.96152818191675,ザ・ビッグ国分寺店,国分寺町新名654番地3,870-6025
142,34.34418653829223,134.05054191382908,菜園Ｓマルシェ,今新町8番地1　香西今新町ビル,804-8083
143,34.328230931422105,134.05764785308384,ザグザグ今里店,今里町1丁目493番地,862-5639
144,34.32750774920942,134.09365453538675,ザグザグ春日店,春日町893番地1,818-0722
145,34.29645462812584,134.0382197083051,ザグザグ鹿角店,三名町743番地1,867-9939
146,34.33228694188041,134.0683561715046,ザグザグ上福岡店,上福岡町769番地1,812-0377
147,34.33441879539005,134.082600520575,ザグザグ木太店,木太町2805番地1,831-2239
148,34.329104023032784,133.9947148095605,ザグザグ鬼無店,鬼無町佐藤54番地1,832-8220
149,34.238528154500315,134.01788505922866,ザグザグ香南店,香南町由佐850番地1,815-8050
150,34.29867931759248,133.96083884081241,ザグザク国分寺店,国分寺町新居1398番地1,874-6639
151,34.30121720414322,134.06119666045444,ザグザグ多肥下町店,多肥下町1550番地2,815-1139
152,34.31042268409181,134.07380102975065,ザグザグ中央インター店,木太町597番地,815-3977
153,34.273727879755455,134.03426057517,ザグザグ仏生山店,仏生山町甲1344番地,815-5215
154,34.31585066013968,134.06476935185788,ザクザク松縄店,松縄町1092番地3,865-0535
155,34.325207978703425,134.04515739048836,ザグザグ栗林店,花ノ宮町三丁目1番48号,864-5720
156,34.31336039657052,133.99962019479815,ザグザグ檀紙北店,飯田町30番地,870-5523
157,34.340719690731284,134.0976879383662,佐々木食品センター,屋島西町1868番地,841-9817
158,34.30037215104057,134.06912078220887,佐野米穀店,林町1086番地1,865-6218
159,34.28889134842536,134.0280966278021,産直　菜の花,一宮町781番地1,864-7087
160,34.28283740488077,134.04499823822346,サンプラザ武下,仏生山町甲345番地7,889-0735
161,34.38293682988641,134.12630059344468,サンボランタリー庵治店ふじの,庵治町6392番地48,871-5151
162,34.33028156976955,134.13431039058622,支援センタードリーム,牟礼町大町2544番地1,818-7700
163,34.16869259691241,134.0854668709576,塩江ショッピングセンターはすい,塩江町安原上東443番地3,893-0029
164,34.17070752578753,134.08212484986203,塩江スーパーバザール,塩江町安原上東387番地9,893-0215
165,34.341776773200834,134.07327365049414,四国屋,福岡町四丁目36番45号,821-5291
166,34.30459521183772,134.09409786767182,四国ライス,東山崎町250番地1,802-1775
167,34.34376662437243,134.06206838485156,自然食品らびっと,松福町一丁目7番9号,822-1539
168,34.31188842690572,134.077450755403,東雲会,木太町4302番地12,867-3316
169,34.313622203654354,134.0262907382243,酒げん堂,松並町651番地16,867-6578
170,34.34700252133065,134.03734374988179,正気屋,扇町一丁目2番16号,821-3096
171,34.341831073201575,134.0369411971207,ショップ空海,幸町1番1号,833-5755
172,34.34743118207283,134.05608536443182,新塩屋町地区コミュニティ協議会,城東町一丁目1番47号,822-1066
173,34.303541980543876,134.04263318362564,新鮮市場きむら太田本店,太田上町1090番地1,868-5050
174,34.315308341146576,134.06963121798344,新鮮市場きむら木太店,木太町5056番地3,815-3611
175,34.3425671585665,134.00673189712072,新鮮市場きむら香西店,香西東町333番地1,881-1200
176,34.28501427753086,133.96320063270142,新鮮市場きむら国分寺店,国分寺町福家甲3136番地,874-8888
177,34.30004836522072,134.07204507810448,新鮮市場きむら林店,林町1183番地,814-3400
178,34.3431637659044,134.13394250141795,新鮮市場きむら牟礼店,牟礼町牟礼1092番地3,845-6112
179,34.34443793891452,134.0886165725826,新鮮市場きむら屋島店,屋島西町2105番地8,843-3000
180,34.295112712340526,134.04249903270158,スーパードラッグひまわり　多肥上店,多肥上町55番地1,802-7801
181,34.33804265368182,134.10818709834544,スーパードラッグひまわり　屋島店,高松町2510番地9,802-8447
182,34.29234416838384,134.04324235294257,スマイルハートあすみ,多肥上町18番地1,889-5560
183,34.343002702483304,134.04543953822514,すみれ漢方施薬院薬局,番町一丁目9番4号,851-2366
184,34.35140942848593,134.04878443537552,セブンイレブンKioskクレメントイン高松,浜ノ町1番3号 JRクレメントイン高松1階,821-0711
185,34.348252416768524,134.0639335382253,セブンイレブン香川県立中央病院前店,朝日町二丁目2番7号,851-2787
186,34.34178771720019,134.03839648730298,セブンイレブン香川大学正門前店,番町四丁目8番21号,835-3711
187,34.33189412679386,134.052959768285,セブンイレブン高松JR栗林駅前店,桜町一丁目1番6号,861-5060
188,34.34753757327542,134.06656445601652,セブンイレブン高松朝日町３丁目店,朝日町三丁目448番13号,826-2011
189,34.28464101289576,134.03243424434777,セブンイレブン高松一宮町店,一宮町113番地1,889-1808
190,34.32660322914096,134.05937514068853,セブンイレブン高松今里店,今里町一丁目16番地1,832-0939
191,34.307839835008025,134.04387008485054,セブンイレブン高松太田下町店,太田下町1856番地9,867-5509
192,34.270234497787534,134.00353422165668,セブンイレブン高松岡本町店,岡本町837番地3,886-7791
193,34.26614130541031,134.030068025954,セブンイレブン高松香川町大野北店,香川町大野9番地1,815-8055
194,34.25819963105287,134.02808412851562,セブンイレブン高松香川町大野店,香川町大野641番地1,815-8055
195,34.33981916883882,134.0902536787068,セブンイレブン高松春日町片田店,春日町1642番地1,844-1173
196,34.32274303082032,134.09272720264215,セブンイレブン高松春日町店,春日町470番地2,843-3711
197,34.34600132607537,134.09338984559477,セブンイレブン高松潟元駅北店,屋島西町1350番地54,841-7715
198,34.29830240301196,134.03119682410724,セブンイレブン高松鹿角町店,鹿角町444番地1,886-7731
199,34.334242628510125,134.0651174014177,セブンイレブン高松上福岡町店,上福岡町657番地9,831-7442
200,34.33886384367972,134.05251863822602,セブンイレブン高松瓦駅東口店,常磐町一丁目3番地１,863-2116
201,34.34034700188306,134.0522187762674,セブンイレブン高松瓦町２丁目店,瓦町二丁目3番地8,862-7115
202,34.335997195353535,134.05607773025307,セブンイレブン高松観光通2丁目店,観光通二丁目8番11号,833-7505
203,34.316202517912515,134.06392872595518,セブンイレブン高松木太中央公園前店,松縄町1091番地5,867-9668
204,34.31779399556018,134.08125822656777,セブンイレブン高松木太町上川東店,木太町4058番地1,868-0082
205,34.32686609877126,134.06872754067442,セブンイレブン高松木太町川西店,木太町1831番地2,831-1700
206,34.338152517438026,134.07215974926928,セブンイレブン高松木太町店,木太町2294番地1,863-0051
207,34.33888278581912,134.078888139441,セブンイレブン高松木太町中浜店,木太町2672番地1,862-7088
208,34.3188069187199,134.0723399688971,セブンイレブン高松木太町本村店,木太町1348番地1,868-2287
209,34.33494998795606,133.99547166830143,セブンイレブン高松鬼無町店,鬼無町佐料7番地3,882-8677
210,34.23708816769502,134.02845397747905,セブンイレブン高松空港店,香川町川東下400番地1,815-8880
211,34.24110539314663,134.00526203514985,セブンイレブン高松香南町横井店,香南町横井937番地1,815-8308
212,34.27210328588469,133.97471831246006,セブンイレブン高松国分寺町福家店,国分寺町福家甲677番地1,874-7885
213,34.34840882400339,134.04849677932967,セブンイレブン高松寿町２丁目店,寿町二丁目1番1号第一生命ビル新館１階,822-7721
214,34.35228629491885,134.04731442718142,セブンイレブン高松サンポート店,サンポート2番1号,822-8011
215,34.19077726448602,134.04962160693628,セブンイレブン高松塩江町店,塩江町安原下第1号1871番地8,897-0558
