"#property","lunchDay","menuName","foodName","quantity"
"162","7/8","ダイシモチ麦のサムゲタンスープ","食塩","0.55"
"163","7/8","ダイシモチ麦のサムゲタンスープ","しょうゆ","0.5"
"164","7/8","ダイシモチ麦のサムゲタンスープ","チキンコンソメ","0.6"
"165","7/8","ダイシモチ麦のサムゲタンスープ","ごま油","0.2"
"166","7/8","ダイシモチ麦のサムゲタンスープ","湯","120"
"167","7/9","とうもろこしごはん　","精白米（自校）","68"
"168","7/9","とうもろこしごはん　","精白米（自校）","75"
"169","7/9","とうもろこしごはん　","鉄強化米","0.5"
"170","7/9","とうもろこしごはん　","（缶）ホールコーン","16"
"171","7/9","とうもろこしごはん　","清酒","1.5"
"172","7/9","とうもろこしごはん　","食塩","0.8"
"173","7/9","とうもろこしごはん　","出し昆布","1"
"174","7/9","牛乳","牛乳","206"
"175","7/9","あつあげとひじきのうま煮","豚肉並（２×２㎝スライス）","20"
"176","7/9","あつあげとひじきのうま煮","（冷）厚揚げ（カット）１㎏","50"
"177","7/9","あつあげとひじきのうま煮","つきこんにゃく","20"
"178","7/9","あつあげとひじきのうま煮","人参","10"
"179","7/9","あつあげとひじきのうま煮","（冷）さやいんげん　５００ｇ","5"
"180","7/9","あつあげとひじきのうま煮","（乾）ひじき","3"
"181","7/9","あつあげとひじきのうま煮","サラダ油","1"
"182","7/9","あつあげとひじきのうま煮","しょうゆ","4"
"183","7/9","あつあげとひじきのうま煮","三温糖","3"
"184","7/9","あつあげとひじきのうま煮","清酒","1"
"185","7/9","あつあげとひじきのうま煮","みりん","0.5"
"186","7/9","あつあげとひじきのうま煮","湯","20"
"187","7/9","しそこんぶあえ","きゅうり","30"
"188","7/9","しそこんぶあえ","キャベツ","30"
"189","7/9","しそこんぶあえ","炒り白ごま","1"
"190","7/9","しそこんぶあえ","塩ふき昆布","1.4"
"191","7/9","しそこんぶあえ","赤じそ粉","0.5"
"192","7/10","ごはん　","精白米（委託・白）","70"
"193","7/10","ごはん　","精白米（委託・白）","80"
"194","7/10","牛乳","牛乳","206"
"195","7/10","さばの塩こうじ焼き","冷）さばの塩麹焼き","小　50"
"196","7/10","さばの塩こうじ焼き","冷）さばの塩麹焼き","中　60"
"197","7/10","切ぼし大根のあえもの","きゅうり","15"
"198","7/10","切ぼし大根のあえもの","切干し大根","5"
"199","7/10","切ぼし大根のあえもの","人参","5"
"200","7/10","切ぼし大根のあえもの","（缶）ホールコーン","5"
"201","7/10","切ぼし大根のあえもの","（個）焙煎ごまドレッシング","8"
"202","7/10","とうがんのみそ汁","油揚げ","5"
"203","7/10","とうがんのみそ汁","玉葱","20"
"204","7/10","とうがんのみそ汁","ミニ冬瓜","15"
"205","7/10","とうがんのみそ汁","人参","8"
"206","7/10","とうがんのみそ汁","中ねぎ","5"
"207","7/10","とうがんのみそ汁","中みそ","5.5"
"208","7/10","とうがんのみそ汁","甘みそ","5"
"209","7/10","とうがんのみそ汁","煮干し　だし用","4"
"210","7/10","とうがんのみそ汁","水","130"
"211","7/11","コッペパン","コッペパン","50"
"212","7/11","コッペパン","コッペパン","50"
"213","7/11","いちごジャム　","（個）いちごジャム","15"
"214","7/11","牛乳","牛乳","206"
"215","7/11","とり肉のコーンフレークフライ","冷）鶏ささみコーンフレークフライ","小1-3　40"
"216","7/11","とり肉のコーンフレークフライ","冷）鶏ささみコーンフレークフライ","小4-6　50"
"217","7/11","とり肉のコーンフレークフライ","冷）鶏ささみコーンフレークフライ","中　60"
"218","7/11","とり肉のコーンフレークフライ","なたね油","4"
"219","7/11","ゆでえだ豆　","（冷）さやつき枝豆","20"
"220","7/11","ゆでえだ豆　","ゆで塩","0.5"
"221","7/11","マカロニ入りトマトのスープ","ベーコン（短冊）","5"
"222","7/11","マカロニ入りトマトのスープ","玉葱","35"
"223","7/11","マカロニ入りトマトのスープ","人参","10"
"224","7/11","マカロニ入りトマトのスープ","キャベツ","20"
"225","7/11","マカロニ入りトマトのスープ","マカロニ（英字）","5"
"226","7/11","マカロニ入りトマトのスープ","セロリ","1"
"227","7/11","マカロニ入りトマトのスープ","サラダ油","0.5"
"228","7/11","マカロニ入りトマトのスープ","（袋）トマト水煮　１ｋｇ","20"
"229","7/11","マカロニ入りトマトのスープ","（袋）がらスープ　１ｋｇ","4"
"230","7/11","マカロニ入りトマトのスープ","チキンコンソメ","0.4"
"231","7/11","マカロニ入りトマトのスープ","食塩","0.4"
"232","7/11","マカロニ入りトマトのスープ","こしょう","0.03"
"233","7/11","マカロニ入りトマトのスープ","ローリエ","0.1"
"234","7/11","マカロニ入りトマトのスープ","湯","110"
"235","7/12","夏野菜カレーライス","精白米（委託・白）","70"
"236","7/12","夏野菜カレーライス","精白米（委託・白）","80"
"237","7/12","夏野菜カレーライス","豚肉並（２×３㎝スライス）","20"
"238","7/12","夏野菜カレーライス","玉葱","40"
"239","7/12","夏野菜カレーライス","じゃがいも","20"
"240","7/12","夏野菜カレーライス","（生）かぼちゃ（２×２㎝）","20"
"241","7/12","夏野菜カレーライス","なす","15"
"242","7/12","夏野菜カレーライス","サラダ油","2"
"243","7/12","夏野菜カレーライス","ミニ冬瓜","15"
"244","7/12","夏野菜カレーライス","（袋）トマト水煮　１ｋｇ","10"
"245","7/12","夏野菜カレーライス","人参","8"
"246","7/12","夏野菜カレーライス","（冷）むき枝豆　１㎏","5"
"247","7/12","夏野菜カレーライス","ピーマン","5"
"248","7/12","夏野菜カレーライス","にんにく　","0.5"
"249","7/12","夏野菜カレーライス","生姜","0.2"
"250","7/12","夏野菜カレーライス","サラダ油","2"
"251","7/12","夏野菜カレーライス","小麦粉","5"
"252","7/12","夏野菜カレーライス","サラダ油","5"
"253","7/12","夏野菜カレーライス","カレー粉","1.1"
"254","7/12","夏野菜カレーライス","（袋）がらスープ　１ｋｇ","4"
"255","7/12","夏野菜カレーライス","（袋）トマトケチャップ　１kg","2"
"256","7/12","夏野菜カレーライス","ウスターソース","1.7"
"257","7/12","夏野菜カレーライス","とんかつソース","1"
