"#property","lunchDay","menuName","foodName","quantity"
"173","9/10","コッペパン　","コッペパン　","50"
"174","9/10","牛乳","牛乳","206"
"175","9/10","とり肉と野菜のトマト煮","鶏肉　胸・皮なし（２×２㎝）","24"
"176","9/10","とり肉と野菜のトマト煮","鶏肉　もも・皮なし（２×２㎝）","16"
"177","9/10","とり肉と野菜のトマト煮","ベーコン（短冊）","5"
"178","9/10","とり肉と野菜のトマト煮","（冷）白いんげん豆　１㎏","15"
"179","9/10","とり肉と野菜のトマト煮","玉葱","35"
"180","9/10","とり肉と野菜のトマト煮","じゃがいも","25"
"181","9/10","とり肉と野菜のトマト煮","（袋）トマト水煮　１ｋｇ","25"
"182","9/10","とり肉と野菜のトマト煮","なす","20"
"183","9/10","とり肉と野菜のトマト煮","人参","10"
"184","9/10","とり肉と野菜のトマト煮","にんにく　","1"
"185","9/10","とり肉と野菜のトマト煮","サラダ油","1"
"186","9/10","とり肉と野菜のトマト煮","（袋）トマトケチャップ　１kg","3"
"187","9/10","とり肉と野菜のトマト煮","赤ぶどう酒","1"
"188","9/10","とり肉と野菜のトマト煮","上白糖","0.8"
"189","9/10","とり肉と野菜のトマト煮","ウスターソース","0.7"
"190","9/10","とり肉と野菜のトマト煮","チキンコンソメ","0.6"
"191","9/10","とり肉と野菜のトマト煮","食塩","0.3"
"192","9/10","とり肉と野菜のトマト煮","こしょう","0.03"
"193","9/10","とり肉と野菜のトマト煮","湯","20"
"194","9/10","ひじきのサラダ","キャベツ","25"
"195","9/10","ひじきのサラダ","きゅうり","20"
"196","9/10","ひじきのサラダ","人参","7"
"197","9/10","ひじきのサラダ","（缶）ホールコーン","5"
"198","9/10","ひじきのサラダ","（乾）ひじき","1.3"
"199","9/10","ひじきのサラダ","（個）棒々鶏ドレッシング","10"
"200","9/10","なし","梨","30"
"201","9/11","ごはん","精白米（委託・白）","70"
"202","9/11","ごはん","精白米（委託・白）","80"
"203","9/11","牛乳","牛乳","206"
"204","9/11","さといもコロッケ","（冷）里芋コロッケ　５０ｇ","50"
"205","9/11","さといもコロッケ","なたね油","5"
"206","9/11","さといもコロッケ","（個）中濃ソース","8"
"207","9/11","ゆで野菜　","キャベツ","40"
"208","9/11","ゆで野菜　","人参","10"
"209","9/11","ゆで野菜　","ゆで塩","0.5"
"210","9/11","だんご汁","（冷）白身魚つみれ","25"
"211","9/11","だんご汁","玉葱","25"
"212","9/11","だんご汁","人参","10"
"213","9/11","だんご汁","しめじ","7"
"214","9/11","だんご汁","中ねぎ","5"
"215","9/11","だんご汁","中みそ","5.5"
"216","9/11","だんご汁","甘みそ","5"
"217","9/11","だんご汁","煮干し　だし用","4"
"218","9/11","だんご汁","水","110"
"219","9/11","月見ゼリー","（個）月見ゼリー　食物繊維強化","50"
"220","9/12","ドライカレー（ナン）","（個）ナン　袋入り","小1・2　50"
"221","9/12","ドライカレー（ナン）","（個）ナン　袋入り","小3-6　　70"
"222","9/12","ドライカレー（ナン）","（個）ナン　袋入り","中　100"
"223","9/12","牛乳","牛乳","206"
"224","9/12","ドライカレー（ナン）","豚肉並ミンチ","20"
"225","9/12","ドライカレー（ナン）","牛肉ミンチ","15"
"226","9/12","ドライカレー（ナン）","（レト）ひきわり大豆　１kg","20"
"227","9/12","ドライカレー（ナン）","玉葱","30"
"228","9/12","ドライカレー（ナン）","人参","7"
"229","9/12","ドライカレー（ナン）","ピーマン","4"
"230","9/12","ドライカレー（ナン）","レーズン","1"
"231","9/12","ドライカレー（ナン）","にんにく　","0.6"
"232","9/12","ドライカレー（ナン）","生姜","0.3"
"233","9/12","ドライカレー（ナン）","サラダ油","0.5"
"234","9/12","ドライカレー（ナン）","小麦粉","1"
"235","9/12","ドライカレー（ナン）","（袋）トマトケチャップ　１kg","9"
"236","9/12","ドライカレー（ナン）","ウスターソース","3.5"
"237","9/12","ドライカレー（ナン）","カレー粉","1.2"
"238","9/12","ドライカレー（ナン）","赤ぶどう酒","1"
"239","9/12","ドライカレー（ナン）","チキンコンソメ","0.5"
