"業務種別","施設名称１","施設郵便番号","施設所在地１","施設所在地２","開設者申請者名","開設者役職名","開設者代表者名","開設者都道府県名称","開設者住所１","開設者住所２","開設確認番号","開設確認日"
"理容所","ＨＡＩＲ・ＢＲＩＮＧ","761-8071","高松市伏石町２１１１−１２",,"石田　卓也",,,,,,"第11057号","H15.09.01"
"理容所","美・シェービング倶楽部","760-0023","高松市寿町二丁目３番９号","マスヤマビル３階","有限会社　マスヤマ理容館","代表取締役","笠井　康博","香川県","高松市寿町二丁目３番９号",,"第11059号","H15.11.06"
"理容所","ＬｉＬＹ＇ｓ　ＧＡＲＤＥＮ","760-0073","高松市栗林町二丁目６番５号",,"岡本　万由美",,,,,,"第11060号","H15.11.28"
"理容所","カット　サロン　マキ","761-0113","高松市屋島西町２４８０",,"荒牧　義男",,,,,,"第11061号","H16.01.14"
"理容所","間島理容所","760-0013","高松市扇町一丁目２３−２３",,"間島　玲子",,,,,,"第11063号","H16.01.16"
"理容所","ｈａｉｒ　ｃｒｅａｔｅ　ａ．ｒ．ｍ","761-8071","高松市松縄町１０４９−３８",,"丸山　篤志",,,,,,"第11062号","H16.01.16"
"理容所","カット・ハウス・３８屋","761-8032","高松市鶴市町５６７番地１",,"有限会社　カット・ハウス・サンジュウハチ屋","代表取締役","近藤　英次","香川県","高松市鶴市町５６７番地１",,"第11064号","H16.01.28"
"理容所","有限会社　小松　茂理容所","760-0040","高松市片原町１番地４",,"有限会社　小松　茂理容所","代表取締役","小松　茂","香川県","高松市片原町１番地４",,"第11067号","H16.08.02"
"理容所","株式会社東京義髪整形　高松営業所","087-8613","高松市天神前５番１８号","ルモンド田中ビル２F","株式会社東京義髪整形","代表取締役","中山　雅史","東京都","台東区根岸三丁目１３番８号",,"第11068号","H16.08.24"
"理容所","フジイ理容室","761-8084","高松市一宮町４５５−１６",,"藤井　勲",,,,,,"第11069号","H16.09.16"
"理容所","理容カット・エー","761-8063","高松市花ノ宮町２丁目１１−３１",,"株式会社　カットツイン","代表取締役","手島　秀貴","大阪府","高槻市芥川町１丁目７番２６号","カワノビル","第11070号","H16.10.21"
"理容所","ヘアーサロン　Ｂ．Ｂ","761-8076","高松市多肥上町字井手上５１６番地７",,"馬場　博美",,,,,,"第11071号","H16.11.18"
"理容所","理容プラージュ　国分寺店","769-0101","高松市国分寺町新居３０３−３",,"阪南理美容株式会社","代表取締役","濱屋　雄大","大阪府","藤井寺市春日丘三丁目１２番１号",,"第16-4号","H17.01.20"
"理容所","Ｏｎｅ　Ｍａｋｅ","760-0014","高松市昭和町一丁目３−３５",,"田渕　裕史",,,,,,"第11073号","H17.01.24"
"理容所","サミット　太田店","761-8074","高松市太田上町３４５番地４",,"株式会社　尾上","代表取締役","尾上　一昭","徳島県","徳島市佐古二番町８番９号",,"第11075号","H17.02.04"
"理容所","バーバー　ヤシマ","761-0113","高松市屋島西町１４８３−１",,"矢野　達男",,,,,,"第11076号","H17.02.24"
"理容所","サロン　ド　シン","761-0450","高松市三谷町４９４−４",,"佐々木　伸",,,,,,"第11077号","H17.03.08"
"理容所","ヘアーサロン　いまゆき","761-0104","高松市高松町１７９５−１",,"今雪　英治",,,,,,"第11078号","H17.03.14"
"理容所","髪工房　やまさき","761-8044","高松市円座町２０４６−２０",,"山﨑　憲二",,,,,,"第11079号","H17.03.23"
"理容所","さんぱつや　こにし","761-8042","高松市御厩町１２４８−１",,"小西　一彰",,,,,,"第11080号","H17.05.02"
"理容所","ヘアーサロン　フジモト","760-0080","高松市木太町５０８２番地２１",,"藤本　眞一",,,,,,"第11081号","H17.07.19"
"理容所","ヘアサロン　オクダ","760-0080","高松市木太町２区１６５８−５",,"奥田　千代子",,,,,,"第11082号","H17.08.23"
